Your session has expired,A sua sessão expirou
Barcode Coordinates,Coordenadas do código de barras
Title Coordinates,Título Coordenadas
"""From"" Coordinates","Coordenadas ""de"""
"""To"" Coordinates","Coordenadas ""para"""
Gift Key Coordinates,Presente Chave Coordenadas
"""Value"" String Coordinates","Coordenadas de String de ""Valor"""
Value Number Coordinates,Coordenadas do número do valor
Expiry Date Coordinates,Coordenadas da Data de Expiração
Note Coordinates,Nota Coordenadas
Style Color,Cor do estilo
Text Color,Cor do texto
Note,Observação
Main Image Uploads,Carregamentos de imagens principais
Gift Card Template Configuration,Configuração do modelo de vale-presente
GiftCard,Cartão Presente
This giftcard no longer exists.,Este vale-presente não existe mais.
New Gift Card,Novo vale-presente
Unavailable,Indisponível
Available,Disponível
A total of %1 record(s) have been updated.,Um total de %1 registro(s) foram atualizados.
You have saved the gift card successfully.,Você salvou o vale-presente com sucesso.
Something went wrong while saving this gift card.,Algo deu errado ao salvar este vale-presente.
Template,Modelo
There is error occurred during uploading images. Please refer to log file for more information,Ocorreu um erro durante o upload das imagens. Consulte o arquivo de log para obter mais informações
You deleted the template.,Você excluiu o modelo.
We can't delete this rate because of an incorrect template ID.,Não podemos excluir esta taxa devido a um ID de modelo incorreto.
Something went wrong deleting this template.,Algo deu errado ao excluir este modelo.
This template no longer exists.,Este modelo não existe mais.
Edit Template,Editar modelo
New Template,Novo modelo
Gift Card Template Manager,Gerenciador de modelos de cartão-presente
A total of %1 record(s) have been changed status.,Um total de %1 registro(s) teve o status alterado.
Unable to save template.,Não foi possível salvar o modelo.
Something went wrong while previewing template.,Algo deu errado ao visualizar o modelo.
The template has been saved.,O modelo foi salvo.
Something went wrong while saving template.,Algo deu errado ao salvar o modelo.
The gift card code is not exist,O código do vale-presente não existe
you can apply one gift card only for a cart,você pode aplicar um vale-presente apenas para um carrinho
The gift card code is already applied for this cart,O código do vale-presente já foi aplicado a este carrinho
You applied giftcard successfully,Você aplicou o vale-presente com sucesso
You applied giftcard unsuccessfully,Você aplicou o vale-presente sem sucesso
You removed giftcard successfully,Você removeu o vale-presente com sucesso
You removed giftcard unsuccessfully,Você removeu o vale-presente sem sucesso
The scheduled send date is invalid,A data de envio agendada é inválida
Design Gift Card,Cartão de presente de design
Cannot generate left style template.,Não é possível gerar modelo de estilo esquerdo.
Cannot generate right style template.,Não é possível gerar o modelo de estilo correto.
Cannot generate center style template.,Não é possível gerar modelo de estilo de centro.
Cannot generate custom style template.,Não é possível gerar modelo de estilo personalizado.
%1 (Default),%1 (Padrão)
Fixed,Fixo
Selected,Selecionado
Range,Variar
Gift Card is not exist,O vale-presente não existe
Gift Card is already expired,O vale-presente já expirou
Gift Card is not active,O vale-presente não está ativo
Gift Card balance is not greater than zero,O saldo do vale-presente não é maior que zero
Subtotal,Subtotal
Shipping & Handling,Envio e Manuseio
Discount (%1),Desconto (%1)
Discount,Desconto
Grand Total,Total geral
giftcard_amount,vale_presente_valor
Canvas Mode,Modo Tela
Pdf Mode,Modo PDF
Turn off design mode,Desligue o modo de design
'giftcard_' .,'Cartão Presente_' .
You have to enter the valid price for gift card,Você deve inserir o preço válido para o vale-presente
You have to enter the valid max price for gift card,Você deve inserir o preço máximo válido para o vale-presente
Gift Card Design,Design de cartão de presente
Add,Adicionar
Add art,Adicionar arte
Background,Fundo
Art,Arte
Add Amount,Adicionar valor
Background Image Upload Manager,Gerenciador de upload de imagem de plano de fundo
Gift Card history,Histórico do vale-presente
Export to:,Exportar para:
records found,registros encontrados
selected,selecionado
per page,por página
Previous page,Página anterior
of %1,de %1
Next page,Próxima página
Apply GiftCard,Aplicar vale-presente
Enter giftcard code,Digite o código do vale-presente
Apply,Aplicar
Choose an Amount,Escolha um valor
Card value,valor do cartão
Select a design,Selecione um desenho
Compose your email,Escreva seu e-mail
To,Para
From,A partir de
Enter your headline here,Digite seu título aqui
optional,opcional
Enter your gift card message here,Insira a mensagem do seu vale-presente aqui
Scheduled send time,Horário de envio agendado
Text,Texto
Add Art,Adicionar arte
Restart,Reiniciar
Gift card option,Opção de vale-presente
Download,Download
Background Color,Cor de fundo
Upload,Envio
Flip,Virar
Center Horizontally,Centralizar horizontalmente
Center Vertically,Centralizar Verticalmente
Bring to front,Traga para frente
Bring forwards,trazer para a frente
Send backwards,Enviar para trás
Send to back,Enviar para trás
Lock,Trancar
Gift Card Value,Valor do vale-presente
Images (%1),Imagens (%1)
Slider Revolution Media Gallery,Galeria de Mídia Slider Revolution
Slider Editor,Editor deslizante
Nwdthemes,Nwdthemes
Slider Revolution,Revolução do controle deslizante
Slider Overview,Visão geral do controle deslizante
&laquo; Previous,&laquo; Anterior
Next &raquo;,Próxima &raquo;
&hellip;,&hellip;
The directory %1 is not writable by server.,O diretório %1 não é gravável pelo servidor.
Table name should not be empty.,O nome da tabela não deve estar vazio.
Where should not be empty.,Onde não deve estar vazio.
We can't upload the file right now.,Não podemos enviar o arquivo agora.
Please activate Slider Revolution,"Por favor, ative o Slider Revolution"
Revolution Slider Page,Página do controle deslizante da revolução
File not found,Arquivo não encontrado
No file sent,Nenhum arquivo enviado
Exceeded filesize limit,Limite de tamanho de arquivo excedido
Slider Revolution doesn't allow this filetype,Slider Revolution não permite este tipo de arquivo
Up,Acima
Down,Baixa
Reverse,Marcha ré
The preview could not be loaded due to some error,A visualização não pôde ser carregada devido a algum erro
"Server connection issues, contact your hosting provider for further assistance","Problemas de conexão do servidor, entre em contato com seu provedor de hospedagem para obter mais assistência"
Edit Skin List,Editar lista de skins
Color Skin Active,Cor da Pele Ativa
Core JavaScript,JavaScript principal
Core CSS,CSS principal
Core Tools (GreenSock & Co),Ferramentas básicas (GreenSock & Co)
Enable Server Compression,Ativar compactação do servidor
"Not Available, read FAQ","Não disponível, leia as perguntas frequentes"
Serverside Compression,Compressão do lado do servidor
Size after Optimization,Tamanho após otimização
Change Image Size or Src,Mudar Tamanho da Imagem ou Src
Pick another Dimension,Escolha outra dimensão
Optimize,otimizar
Save Changes,Salvar alterações
Apply Changes,Aplicar mudanças
Suggestion,Sugestão
Too Small,Muito pequeno
Standard (1x),Padrão (1x)
Retina (2x),Retina (2x)
Oversized,Superdimensionado
Quality,Qualidade
File,Arquivo
Resize,Redimensionar
Optimized (Low Quality),Otimizado (baixa qualidade)
Not Retina Ready,Não está pronto para retina
Element,Elemento
Calculating...,Calculando...
File Size,Tamanho do arquivo
Dimension,Dimensão
Dimensions,Dimensões
Optimization,Otimização
Optimized,Otimizado
Smart Resize,Redimensionamento Inteligente
Optimal,Ótimo
Recommended,Recomendado
Highly Recommended,Altamente recomendado
File Size Optimizer,Otimizador de tamanho de arquivo
Loaded Media Files,Arquivos de mídia carregados
Optimize to save up to ,Otimize para economizar até
Optimize Selection,Otimizar Seleção
Visibility,Visibilidade
Layers,Camadas
Video ID,ID do vídeo
YouTube ID,ID do YouTube
Vimeo ID,ID do Vimeo
Poster,Poster
YouTube Poster,Pôster do YouTube
Vimeo Poster,Pôster do Vimeo
Poster Image,Imagem do pôster
Media Library,Biblioteca de mídia
Object Library,Biblioteca de objetos
Video Source,Fonte de vídeo
Image Source,Fonte da imagem
External Image Source,Fonte de imagem externa
Image Based,Baseado em imagem
External Image,Imagem Externa
Transparent,Transparente
Please Wait a Moment,Por favor espere um momento
Backgrounds,Fundos
Color Picker,Seletor de cores
Save Content,Salvar conteúdo
Module Background,Plano de fundo do módulo
Wrapping Tag,Etiqueta de embrulho
Content,Contente
No Layers to Edit,Sem camadas para editar
Layer Media,Camada de mídia
Ooppps....,Oppps....
None of the Settings changed. There is Nothing to Save,Nenhuma das configurações foi alterada. Não há nada para salvar
Enter Preset Name to Save or Delete,Digite o nome predefinido para salvar ou excluir
Custom Size is currently Disabled,O tamanho personalizado está desativado no momento
The Current Size is set to calculate the Layer grid sizes Automatically.<br>Do you want to continue with Custom Sizes or do you want to keep the Automatically generated sizes ?,O tamanho atual é definido para calcular os tamanhos da grade da camada automaticamente.<br>Deseja continuar com os tamanhos personalizados ou deseja manter os tamanhos gerados automaticamente?
Keep Auto Sizes,Manter tamanhos automáticos
Use Custom Sizes,Usar tamanhos personalizados
What should happen Next?,O que deve acontecer a seguir?
Need Attention by removing,Precisa de atenção removendo
Where do you want to move the Inherited Layers?,Para onde você deseja mover as camadas herdadas?
Drag & Drop Import File,Arrastar e Soltar Arquivo de Importação
or,ou
Click to Choose,Clique para escolher
Embed,Embutir
Folder,Pasta
Rename,Renomear
Root Level,Nível Raiz
Add Category,Adicionar categoria
Show,mostrar
Per Page,Por página
Layer converted Successfully,Camada convertida com sucesso
Layer Loop Effect disabled,Efeito Loop de Camada desativado
<b>Layer width bleeds out of Grid:</b><br>-Auto Layer width has been removed<br>-Line Break set to Content Based,<b>Layer width bleeds out of Grid:</b><br>-Auto Layer width has been removed<br>-Line Break set to Content Based
Multiple Layerselection not Supported<br>in Animation Mode,Seleção de várias camadas não suportada<br>no modo de animação
Close News,Fechar Notícias
&copy; Copyright & License Info,&cópia de; Informações sobre direitos autorais e licença
Registered,Registrado
Unregistered,Não registrado
Dismiss Messages,Ignorar mensagens
Some AddOns have new versions available,Alguns AddOns têm novas versões disponíveis
New Version Available. Please Update,Nova versão disponível. Por favor atualize
Plugin Outdated. Please Update,Plug-in desatualizado. Por favor atualize
AddOns Outdated. Please Update,Complementos desatualizados. Por favor atualize
Plugin is not Registered,O plug-in não está registrado
Register to unlock Premium Features,Registre-se para desbloquear os recursos premium
Register to Unlock all Features,Registre-se para desbloquear todos os recursos
Register to unlock AddOns,Registre-se para desbloquear AddOns
Register to unlock Support,Registre-se para desbloquear o Suporte
Register to unlock Library,Registre-se para desbloquear a Biblioteca
Register to unlock Updates,Registre-se para desbloquear atualizações
Register to unlock Templates,Registre-se para desbloquear modelos
Do you want to start the Update process?,Deseja iniciar o processo de atualização?
are ready for import!,estão prontos para importação!
"Do you want to add them to the ""custom"" category or create a new category?","Deseja adicioná-los à categoria ""personalizada"" ou criar uma nova categoria?"
Add To Custom,Adicionar ao personalizado
Add To,Adicionar à
Create New Category,Criar nova categoria
